Name,Flights,Kilometer,CO2(kg)
Elon Musk,163,426977,5755500
Bill Gates,147,425376,5733100
Floyd Mayweather,237,470613,5682100
Kim Kardashian,122,466881,5636800
Leonard Blavatnik,184,390225,5259000
Steven Spielberg,128,347916,4693800
Beyonce and JayZ,192,386842,4676100
Travis Scott,123,244920,4507400
George Lucas,120,355147,4289200
Tyler Perry,113,226519,4158900
Mark Wahlberg,155,291582,4112100
Jim Carrey,143,301736,3651500
Kylie Jenner,129,250699,3531100
Robert Kraft,185,231790,3126300
Jeff Bezos,96,229749,3097400
Marc Cuban,119,214647,3020400
Celine Dion,80,212986,2998800
Alex Rodriguez,125,236977,2860900
Jack Nicklaus,104,209012,2526500
James Dyson,71,181650,2448100
