Timestamp,Sex,Age,"Grade, Strand & Section",ESPORTS COMMUNITY TOURNAMENTS,BARANGAY TOURNAMENTS,REGIONAL TOURNAMENTS ,SCHOOL/UNIVERSITY TOURNAMENTS,PROFESSIONAL TOURNAMENTS,INTERNATIONAL TOURNAMENTS,Esports promotes a sense of community among players who have similar interests like me.,Esports allows me to connect more with others.,"Esports helps me to gain notoriety or popularity in online spaces (YouTube, Twitch, TikTok, Facebook, etc.).",Esports allows me to meet new people and form new friendships.,Esports participation helps me train my mind to minimize mental fatigue,Esports offers a place to unwind and distract myself away from stress.,Esports helps me to stick to a healthy and regular sleeping routine.,Esports helps me in developing my leadership skills.,Esports helps me develop my patience.,Esports helps me strengthen my problem-solving skills.,Esports accelerates my ability to study and comprehend new skills.,Esports improves my mental capacity for pattern recognition.,Esports drives my motivation to set and achieve my primary goals.,Esports helps me form an identity for myself.,"Esports assists me in developing positive habits (example: time management, sleeping at the right time, etc.).","Esports drives me to master, train, and upgrade my skills in the game",Esports participation helps me improve my hand-eye coordination,Esports has given me an opportunity to acquire scholarships or financial aid from organizations (Like AcaArena and others).,"Esports has given me the chance to work in content creation (For example: Facebook gaming, YouTube, TikTok, etc.)","Esports has provided me with jobs (for example: programming, beta testing, editing, etc.)","Esports participation has led me to work as an Esports staff (for example: coach, assistant coach, manager, analyst, etc.).",Esports inspires me to start a career as a game commentator and analyst.,Esports leads me or inspires me to work as an Esports athlete for a professional team.
4/5/2023 14:04:18,Male,18,ICT 12-01,3,2,2,3,3,1,3,4,3,4,4,3,2,3,3,4,3,3,3,3,2,3,3,2,2,2,3,2,2
4/5/2023 14:07:39,Male,18,ICT 12-01,2,2,2,3,3,1,3,3,4,3,3,3,3,4,4,4,4,4,3,3,3,3,3,2,1,2,2,3,4
4/5/2023 14:11:50,Male,17,ICT 12-01,2,2,2,3,1,1,3,4,4,3,3,2,3,3,4,3,2,3,3,2,4,3,3,4,4,2,3,2,4
4/5/2023 14:14:40,Male,18,ICT 12-01,3,2,1,3,1,1,4,4,2,3,4,4,2,4,3,4,2,4,3,4,2,4,3,2,3,2,3,2,2
4/5/2023 14:21:45,Male,18,ICT 12-01,3,3,2,2,3,2,4,3,4,3,4,4,3,4,4,3,3,2,2,2,3,3,2,3,4,4,1,1,1
4/5/2023 14:31:07,Female,18,ICT 12-01,1,1,1,3,1,1,3,3,1,2,3,2,2,3,3,3,3,4,4,4,3,2,2,2,2,1,2,3,2
4/5/2023 14:44:10,Male,18,ICT 12-01,4,2,1,4,1,1,4,4,3,4,4,4,2,4,4,4,4,4,4,4,2,4,4,1,1,1,1,1,4
4/5/2023 14:47:55,Male,18,ICT 12-01,4,3,3,2,1,1,4,4,4,4,4,4,4,4,4,4,4,3,4,4,3,4,4,4,3,3,3,3,3
4/5/2023 14:51:59,Male,18,ICT 12-01,3,2,1,4,1,1,4,4,3,4,3,4,2,4,3,4,3,3,4,4,2,3,3,2,3,2,3,2,4
4/5/2023 15:22:38,Male,18,ICT 12-01,4,2,3,4,2,4,4,4,4,4,3,2,2,3,4,4,4,3,4,4,1,4,4,3,4,4,3,4,4
4/5/2023 15:45:14,Male,19,ICT 12-01,4,4,4,2,2,1,4,3,4,3,4,4,4,3,3,3,4,2,4,4,4,3,3,4,3,3,4,4,3
4/5/2023 15:48:34,Male,18,ICT 12-01,4,2,3,4,3,3,4,4,4,4,4,4,3,4,4,4,4,4,4,4,3,4,4,3,3,4,3,4,4
4/5/2023 16:04:42,Male,18,ICT 12-01,2,1,1,3,1,1,4,4,4,3,2,3,1,3,3,4,4,4,3,4,2,4,4,1,1,2,1,2,2
4/5/2023 16:06:47,Male,18,ICT 12-01,2,1,1,2,1,1,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
4/5/2023 18:36:58,Male,17,STEM 11-02,3,2,1,4,3,1,4,4,4,4,4,3,3,4,4,4,4,4,4,3,3,4,4,2,2,2,2,4,4
4/5/2023 18:38:52,Male,16,STEM 11-12,3,1,3,3,2,1,3,4,3,3,3,4,2,3,3,3,2,3,3,3,2,4,3,2,4,3,3,3,3
4/5/2023 18:42:13,Male,17,Stem 11-12,1,1,1,2,1,1,4,3,1,2,4,3,1,3,4,4,4,4,4,4,2,4,4,1,1,1,1,1,1
4/5/2023 18:43:39,Male,17,Stem 11-12,3,3,1,1,1,1,3,3,3,4,3,3,2,2,3,3,4,2,2,3,3,3,3,1,2,2,2,2,1
4/5/2023 18:45:12,Male,17,Stem 11-12,2,2,1,1,1,1,4,4,2,4,3,2,2,3,2,3,4,3,4,3,3,4,3,1,1,2,1,2,2
4/5/2023 18:47:00,Female,17,Stem 11-12,1,1,1,4,1,1,3,4,2,4,4,4,4,3,3,3,2,2,3,3,3,4,3,3,3,2,2,3,3
4/5/2023 18:49:08,Male,17,Gas 11-01,3,1,1,2,1,1,3,4,3,4,3,4,2,3,4,4,3,3,3,3,3,4,3,1,2,1,1,1,2
4/5/2023 18:51:03,Male,17,Gas 11-01,4,3,3,2,1,1,4,3,4,3,4,4,2,4,3,3,3,4,4,4,2,3,4,4,3,4,4,2,3
4/5/2023 18:52:41,Female,16,Gas 11-01,1,2,1,1,1,1,3,4,3,3,3,4,3,3,3,3,3,3,3,3,3,4,3,1,1,1,1,1,1
4/5/2023 18:54:16,Male,17,Gas 11-01,3,2,1,1,1,1,3,3,3,3,3,4,1,4,3,3,4,4,3,3,1,4,3,2,2,1,1,2,2
4/5/2023 19:56:42,Male,17,ICT 11-01,2,1,1,3,1,1,3,2,2,3,2,2,2,3,3,1,2,3,1,3,3,4,3,2,1,2,1,1,1
4/5/2023 19:58:27,Male,16,ICT 11-01,3,2,1,1,1,1,4,3,3,3,4,4,2,4,3,4,4,3,4,3,2,4,4,1,3,3,1,3,3
4/5/2023 20:00:02,Male,17,ICT 11-01,2,1,1,1,1,1,3,4,3,4,4,3,2,4,4,4,4,4,3,3,2,4,4,2,2,2,2,2,3
