Row Labels,Sum of JP_Sales,Sum of EU_Sales,Sum of NA_Sales
2600,0,5.47,90.6
SAT,32.26,0.54,0.72
3DO,0.1,0,0
3DS,97.35,58.52,78.87
DC,8.56,1.69,5.43
DS,175.57,194.65,390.71
GB,85.12,47.82,114.32
GBA,47.33,75.25,187.54
GC,21.58,38.71,133.46
GEN,2.67,5.52,19.27
GG,0.04,0,0
N64,34.22,41.06,139.02
NES,98.65,21.15,125.94
NG,1.44,0,0
PC,0.17,139.68,93.28
PCFX,0.03,0,0
PS,139.82,213.6,336.51
PS2,139.2,339.29,583.84
PS3,79.99,343.71,392.26
PS4,14.3,123.7,96.8
PSP,76.79,68.25,108.99
PSV,20.96,16.33,16.2
SCD,0.45,0.36,1
SNES,116.55,19.04,61.23
TG16,0.16,0,0
Wii,69.35,268.38,507.71
WiiU,12.79,24.23,38.32
WS,1.42,0,0
X360,12.43,280.58,601.05
XB,1.38,60.95,186.69
XOne,0.34,45.65,83.19
Grand Total,1291.02,2434.13,4392.95
