Rank,Name,Platform,Year,Publisher,NA_Sales,EU_Sales
1,Wii Sports,Wii,2006,Nintendo,41.49,29.02
2,Super Mario Bros.,NES,1985,Nintendo,29.08,3.58
3,Mario Kart Wii,Wii,2008,Nintendo,15.85,12.88
4,Wii Sports Resort,Wii,2009,Nintendo,15.75,11.01
5,Pokemon Red/Pokemon Blue,GB,1996,Nintendo,11.27,8.89
6,Tetris,GB,1989,Nintendo,23.2,2.26
7,New Super Mario Bros.,DS,2006,Nintendo,11.38,9.23
8,Wii Play,Wii,2006,Nintendo,14.03,9.2
9,New Super Mario Bros. Wii,Wii,2009,Nintendo,14.59,7.06
10,Duck Hunt,NES,1984,Nintendo,26.93,0.63
11,Nintendogs,DS,2005,Nintendo,9.07,11
12,Mario Kart DS,DS,2005,Nintendo,9.81,7.57
13,Pokemon Gold/Pokemon Silver,GB,1999,Nintendo,9,6.18
14,Wii Fit,Wii,2007,Nintendo,8.94,8.03
15,Wii Fit Plus,Wii,2009,Nintendo,9.09,8.59
16,Kinect Adventures!,X360,2010,Microsoft Game Studios,14.97,4.94
17,Grand Theft Auto V,PS3,2013,Take-Two Interactive,7.01,9.27
18,Grand Theft Auto: San Andreas,PS2,2004,Take-Two Interactive,9.43,0.4
19,Super Mario World,SNES,1990,Nintendo,12.78,3.75
20,Brain Age: Train Your Brain in Minutes a Day,DS,2005,Nintendo,4.75,9.26
21,Pokemon Diamond/Pokemon Pearl,DS,2006,Nintendo,6.42,4.52
22,Super Mario Land,GB,1989,Nintendo,10.83,2.71
23,Super Mario Bros. 3,NES,1988,Nintendo,9.54,3.44
24,Grand Theft Auto V,X360,2013,Take-Two Interactive,9.63,5.31
25,Grand Theft Auto: Vice City,PS2,2002,Take-Two Interactive,8.41,5.49
26,Pokemon Ruby/Pokemon Sapphire,GBA,2002,Nintendo,6.06,3.9
27,Pokemon Black/Pokemon White,DS,2010,Nintendo,5.57,3.28
28,Brain Age 2: More Training in Minutes a Day,DS,2005,Nintendo,3.44,5.36
29,Gran Turismo 3: A-Spec,PS2,2001,Sony Computer Entertainment,6.85,5.09
30,Call of Duty: Modern Warfare 3,X360,2011,Activision,9.03,4.28
31,Pokémon Yellow: Special Pikachu Edition,GB,1998,Nintendo,5.89,5.04
32,Call of Duty: Black Ops,X360,2010,Activision,9.67,3.73
33,Pokemon X/Pokemon Y,3DS,2013,Nintendo,5.17,4.05
34,Call of Duty: Black Ops 3,PS4,2015,Activision,5.77,5.81
35,Call of Duty: Black Ops II,PS3,2012,Activision,4.99,5.88
36,Call of Duty: Black Ops II,X360,2012,Activision,8.25,4.3
37,Call of Duty: Modern Warfare 2,X360,2009,Activision,8.52,3.63
38,Call of Duty: Modern Warfare 3,PS3,2011,Activision,5.54,5.82
39,Grand Theft Auto III,PS2,2001,Take-Two Interactive,6.99,4.51
40,Super Smash Bros. Brawl,Wii,2008,Nintendo,6.75,2.61
41,Call of Duty: Black Ops,PS3,2010,Activision,5.98,4.44
42,Animal Crossing: Wild World,DS,2005,Nintendo,2.55,3.52
43,Mario Kart 7,3DS,2011,Nintendo,4.74,3.91
44,Halo 3,X360,2007,Microsoft Game Studios,7.97,2.83
45,Grand Theft Auto V,PS4,2014,Take-Two Interactive,3.8,5.81
46,Pokemon HeartGold/Pokemon SoulSilver,DS,2009,Nintendo,4.4,2.77
47,Super Mario 64,N64,1996,Nintendo,6.91,2.85
48,Gran Turismo 4,PS2,2004,Sony Computer Entertainment,3.01,0.01
49,Super Mario Galaxy,Wii,2007,Nintendo,6.16,3.4
50,Pokemon Omega Ruby/Pokemon Alpha Sapphire,3DS,2014,Nintendo,4.23,3.37
51,Super Mario Land 2: 6 Golden Coins,GB,1992,Nintendo,6.16,2.04
52,Grand Theft Auto IV,X360,2008,Take-Two Interactive,6.76,3.1
53,Gran Turismo,PS,1997,Sony Computer Entertainment,4.02,3.87
54,Super Mario 3D Land,3DS,2011,Nintendo,4.89,2.99
55,Gran Turismo 5,PS3,2010,Sony Computer Entertainment,2.96,4.88
56,Call of Duty: Modern Warfare 2,PS3,2009,Activision,4.99,3.69
57,Grand Theft Auto IV,PS3,2008,Take-Two Interactive,4.76,3.76
58,Super Mario All-Stars,SNES,1993,Nintendo,5.99,2.15
59,Pokemon FireRed/Pokemon LeafGreen,GBA,2004,Nintendo,4.34,2.65
60,Super Mario 64,DS,2004,Nintendo,5.08,3.11
61,Just Dance 3,Wii,2011,Ubisoft,6.05,3.15
62,Call of Duty: Ghosts,X360,2013,Activision,6.72,2.63
63,Halo: Reach,X360,2010,Microsoft Game Studios,7.03,1.98
64,Mario Kart 64,N64,1996,Nintendo,5.55,1.94
65,New Super Mario Bros. 2,3DS,2012,Nintendo,3.66,3.07
66,Halo 4,X360,2012,Microsoft Game Studios,6.63,2.36
67,Final Fantasy VII,PS,1997,Sony Computer Entertainment,3.01,2.47
68,Call of Duty: Ghosts,PS3,2013,Activision,4.09,3.73
69,Just Dance 2,Wii,2010,Ubisoft,5.84,2.89
70,Gran Turismo 2,PS,1999,Sony Computer Entertainment,3.88,3.42
71,Call of Duty 4: Modern Warfare,X360,2007,Activision,5.91,2.38
72,Donkey Kong Country,SNES,1994,Nintendo,4.36,1.71
73,Minecraft,X360,2013,Microsoft Game Studios,5.58,2.83
74,Animal Crossing: New Leaf,3DS,2012,Nintendo,2.01,2.32
75,Mario Party DS,DS,2007,Nintendo,4.46,1.88
76,The Elder Scrolls V: Skyrim,X360,2011,Bethesda Softworks,5.03,2.86
77,Super Mario Kart,SNES,1992,Nintendo,3.54,1.24
78,FIFA 16,PS4,2015,Electronic Arts,1.11,6.06
79,Wii Party,Wii,2010,Nintendo,1.79,3.53
80,Halo 2,XB,2004,Microsoft Game Studios,6.82,1.53
81,Mario Party 8,Wii,2007,Nintendo,3.81,2.3
82,Pokemon Black 2/Pokemon White 2,DS,2012,Nintendo,2.91,1.86
83,FIFA Soccer 13,PS3,2012,Electronic Arts,1.06,5.05
84,The Sims 3,PC,2009,Electronic Arts,0.98,6.42
85,GoldenEye 007,N64,1997,Nintendo,5.8,2.01
86,Mario & Sonic at the Olympic Games,Wii,2007,Sega,2.58,3.9
87,Final Fantasy X,PS2,2001,Sony Computer Entertainment,2.91,2.07
88,Final Fantasy VIII,PS,1999,SquareSoft,2.28,1.72
89,Pokémon Platinum Version,DS,2008,Nintendo,2.82,1.78
90,Pac-Man,2600,1982,Atari,7.28,0.45
91,Grand Theft Auto: Liberty City Stories,PSP,2005,Take-Two Interactive,2.9,2.83
92,Super Mario Galaxy 2,Wii,2010,Nintendo,3.66,2.42
93,Star Wars Battlefront (2015),PS4,2015,Electronic Arts,2.93,3.29
94,Call of Duty: Advanced Warfare,PS4,2014,Activision,2.8,3.3
95,The Legend of Zelda: Ocarina of Time,N64,1998,Nintendo,4.1,1.89
96,Crash Bandicoot 2: Cortex Strikes Back,PS,1997,Sony Computer Entertainment,3.78,2.17
97,Super Mario Bros. 2,NES,1988,Nintendo,5.39,1.18
98,Super Smash Bros. for Wii U and 3DS,3DS,2014,Nintendo,3.24,1.35
99,Call of Duty: World at War,X360,2008,Activision,4.79,1.9
100,Battlefield 3,X360,2011,Electronic Arts,4.46,2.13
101,The Legend of Zelda: Twilight Princess,Wii,2006,Nintendo,3.83,2.19
102,Call of Duty: Black Ops 3,XOne,2015,Activision,4.52,2.09
103,Just Dance,Wii,2009,Ubisoft,3.51,3.03
104,Battlefield 3,PS3,2011,Electronic Arts,2.85,2.93
105,Need for Speed Underground,PS2,2003,Electronic Arts,3.27,2.83
106,Tekken 3,PS,1998,Sony Computer Entertainment,3.27,2.22
107,Crash Bandicoot 3: Warped,PS,1998,Sony Computer Entertainment,3.68,1.75
108,Super Smash Bros. Melee,GC,2001,Nintendo,4.41,1.04
109,Mario Kart 8,WiiU,2014,Nintendo,3.13,2.07
110,Fallout 4,PS4,2015,Bethesda Softworks,2.47,3.15
111,Mario Kart: Double Dash!!,GC,2003,Nintendo,4.12,1.77
112,Just Dance 4,Wii,2012,Ubisoft,4.14,2.21
113,FIFA 14,PS3,2013,Electronic Arts,0.78,4.32
114,Need for Speed Underground 2,PS2,2004,Electronic Arts,2.71,3.02
115,Medal of Honor: Frontline,PS2,2002,Electronic Arts,2.93,2.75
116,Uncharted 3: Drake's Deception,PS3,2011,Sony Computer Entertainment,2.77,2.8
117,Crash Bandicoot,PS,1996,Sony Computer Entertainment,3.23,2.35
