"Id","Place name","Email","Phone","Address","Hours","Location","Reviews count","Category","Total score","website"
"1","Pasay City National Science High School","pcsciencehs@yahoo.com","","219 Vergel St, Pasay, Metro Manila","","https://www.google.com/maps?cid=8553796514523084213","29","High school,Public educational institution","4.4","psci.depedpasay.ph"
"2","St. Mary's Academy of Pasay","","0288316680","525 P Burgos Street, 59 Zone 7, Pasay, 1300 Metro Manila","Thursday:[8 AM–5 AM],Friday:[8 AM–5 AM],Saturday:[8 AM–12 AM],Sunday:[Closed],Monday:[8 AM–5 PM],Tuesday:[8 AM–5 PM],Wednesday:[8 AM–5 AM]","https://www.google.com/maps?cid=1685669556934596900","32","School","4.3","sma.edu.ph"
"3","Pasay City North High School -Tramo Campus","pcnhstramocampus@gmail.com","0285199699","H222+VF8, Tramo, Pasay, 1300 Metro Manila","Thursday:[5:30 AM–7:30 PM],Friday:[5:30 AM–7:30 PM],Saturday:[Closed],Sunday:[Closed],Monday:[5:30 AM–7:30 PM],Tuesday:[5:30 AM–7:30 PM],Wednesday:[5:30 AM–7:30 PM]","https://www.google.com/maps?cid=251953148075763024","12","High school","3.8","pcnhstramo.depedpasay.ph"
"4","Pasay City West High School","","","GXVW+H8H, Pasadena, Pasay, Metro Manila","Thursday:[6 AM–5 PM],Friday:[6 AM–5 PM],Saturday:[Closed],Sunday:[Closed],Monday:[6 AM–5 PM],Tuesday:[6 AM–5 PM],Wednesday:[6 AM–5 PM]","https://www.google.com/maps?cid=11794882920449307660","48","High school","4.4","null"
"5","Pasay City North High School Main - MDC","pcnhsmdelacruz@depedpasay.ph,305363@deped.gov.ph","0288049985","2419 M. dela Cruz St, Pasay, 1303 Metro Manila","","https://www.google.com/maps?cid=4911661840354222058","6","School","4.8","pcnhsmdelacruz.depedpasay.ph"
"6","Gideon Academy","gideon_academy@yahoo.com","0288340906","2683 F.B. Harrison St, Pasay, Metro Manila","","https://www.google.com/maps?cid=4322863396953342189","7","School","4.1","gideon.edu.ph"
"7","Pasay City National High School","michael.elfland@telegram.com,mcdermott@telegram.com,sbarnacle@gannett.com,bprendiville@localiq.com,danielle.arakelian@telegram.com,kborondy@wickedlocal.com,mcartolano@gannett.com,tgoetting@gannett.com,Victor.Infante@Telegram.com,vmudambi@gannett.com,brian.nelson@telegram.com,powen@gannett.com,brad.petrishen@telegram.com,henry.schwan@telegram.com,csemon@gannett.com,richard.duckett@telegram.com,tcaushi@gannett.com,john.conceison@telegram.com,rgarven@telegram.com,michael.shattuck@telegram.com,jennifer.toland@telegram.com,james.wilson@telegram.com,tcassell@telegram.com,rick.cinclair@telegram.com,AWJung@gannett.com","09653140347","H222+P74, Tramo, Pasay, Metro Manila","Thursday:[Open 24 hours],Friday:[Open 24 hours],Saturday:[Open 24 hours],Sunday:[Open 24 hours],Monday:[Open 24 hours],Tuesday:[Open 24 hours],Wednesday:[Open 24 hours]","https://www.google.com/maps?cid=13453223152977323607","3","School","3.7","telegram.com"
"8","Pasay City East High School","","","G2P5+J8V, E.Rodriguez Ext, Malibay, Pasay, Metro Manila","","https://www.google.com/maps?cid=4432628800819089949","23","High school","4.6","null"
"9","Sta. Clara Parish School","","0288318253","2360 Burgos St, Pasay, Metro Manila","","https://www.google.com/maps?cid=15362926542144506619","8","School","3.3","null"
"10","Arellano University - Jose Abad Santos High School","","0288318077","3058 Taft Avenue, Pasay, 1300","Thursday:[12 AM–9 PM],Friday:[Closed],Saturday:[12 AM–9 PM],Sunday:[12 AM–9 PM],Monday:[12 AM–9 PM],Tuesday:[12 AM–9 PM],Wednesday:[12 AM–9 PM]","https://www.google.com/maps?cid=1555053931807873077","5","High school","4.4","null"
