"Id","Place name","Email","Phone","Address","Hours","Location","Reviews count","Category","Total score","website"
"1","Yolanda Store","","","FVGW+CGV, Caridad, Cavite City, Cavite","Thursday:[6:30 AM–10 PM],Friday:[6:30 AM–10 PM],Saturday:[6:30 AM–10 PM],Sunday:[6:30 AM–10 PM],Monday:[6:30 AM–10 PM],Tuesday:[6:30 AM–10 PM],Wednesday:[6:30 AM–10 PM]","https://www.google.com/maps?cid=12510424830439123016","9","Store","4.3","null"
"2","Carmenata Store","","0464316141","895 P.Burgos Avenue, San Roque, Cavite City, 4100 Cavite","Thursday:[7 AM–9 PM],Friday:[7 AM–9 PM],Saturday:[7 AM–9 PM],Sunday:[7 AM–9 PM],Monday:[7 AM–9 PM],Tuesday:[7 AM–9 PM],Wednesday:[7 AM–9 PM]","https://www.google.com/maps?cid=11260756491503240494","null","Supermarket","null","null"
"3","Ligaya Store","","","1311 J.Felipe Blvd, Caridad, Cavite City, Cavite","Thursday:[7 AM–9 PM],Friday:[7 AM–9 PM],Saturday:[7 AM–9 PM],Sunday:[7 AM–9 PM],Monday:[7 AM–9 PM],Tuesday:[7 AM–9 PM],Wednesday:[7 AM–9 PM]","https://www.google.com/maps?cid=3489801424608750434","null","Grocery store","null","null"
"4","Sonia's Store","","","FWP3+929, C.Dones, San Antonio, Cavite City, Cavite","Thursday:[Open 24 hours],Friday:[Open 24 hours],Saturday:[Open 24 hours],Sunday:[Open 24 hours],Monday:[Open 24 hours],Tuesday:[Open 24 hours],Wednesday:[Open 24 hours]","https://www.google.com/maps?cid=16092230868992790887","2","Grocery store","5","null"
"5","Everwin Mart","","","811 P. Burgos Ave, Caridad, Cavite City, 4100 Cavite","Thursday:[7 AM–9 PM],Friday:[7 AM–9 PM],Saturday:[7 AM–9 PM],Sunday:[7 AM–9 PM],Monday:[7 AM–9 PM],Tuesday:[7 AM–9 PM],Wednesday:[7 AM–9 PM]","https://www.google.com/maps?cid=13467632763541247064","221","Supermarket","4.3","null"
"6","MI Department Store","","0464162216","2/F Waltermart Gen. Aguinaldo HI-Way Zone 4, Dasmarinas, Cavite","Thursday:[10 AM–8:30 PM],Friday:[10 AM–8:30 PM],Saturday:[10 AM–8:30 PM],Sunday:[10 AM–8:30 PM],Monday:[10 AM–8:30 PM],Tuesday:[10 AM–8:30 PM],Wednesday:[10 AM–8:30 PM]","https://www.google.com/maps?cid=15693405325821871458","1","Department store","5","null"
"7","Abulog Sari Sari Store","","","796 Int. 7 Crescini, Caridad, Cavite City, 4100 Cavite","Thursday:[6 AM–10 PM],Friday:[6 AM–10 PM],Saturday:[6 AM–10 PM],Sunday:[6 AM–10 PM],Monday:[6 AM–10 PM],Tuesday:[6 AM–10 PM],Wednesday:[6 AM–10 PM]","https://www.google.com/maps?cid=10235202381171088400","null","Convenience store","null","null"
"8","Click to Shop","","09560023649","9233 Eustaquio st. altarez luma village carmon cavite, Cavite City, 4116 Cavite","Thursday:[9 AM–10 PM],Friday:[9 AM–10 PM],Saturday:[10 AM–9 PM],Sunday:[Closed],Monday:[9 AM–10 PM],Tuesday:[9 AM–10 PM],Wednesday:[9 AM–10 PM]","https://www.google.com/maps?cid=16986913162098909446","null","Produce market","null","null"
"9","Ever Supermarket - Cavite City","evercs@ever.ph","09178040717","771 P. Burgos Ave, San Roque, Cavite City, 4100 Cavite","Thursday:[6 AM–9 PM],Friday:[6 AM–9 PM],Saturday:[6 AM–9 PM],Sunday:[6 AM–9 PM],Monday:[6 AM–9 PM],Tuesday:[6 AM–9 PM],Wednesday:[6 AM–9 PM]","https://www.google.com/maps?cid=1444069736584404645","160","Grocery store,Supermarket","4.2","ever.ph"
"10","MALHENGRACE BILLS PAYMENT SERVICES AND SARISARI STORE","","","Quadra Barangay22A, M Lt. Mario Castro, Caridad, Cavite City, 4100 Cavite","Thursday:[8 AM–8 PM],Friday:[8 AM–8 PM],Saturday:[8 AM–8 PM],Sunday:[Closed],Monday:[8 AM–8 PM],Tuesday:[8 AM–8 PM],Wednesday:[8 AM–8 PM]","https://www.google.com/maps?cid=623826162139787720","1","Convenience store","5","null"
